id,property,amenity
02129d95-b992-438e-9a0d-405911c9080e,The Port on The Square,Recycling
0268986d-55fc-4e36-baab-b9637b94ed67,The Port On The Square,TV in Every Studio
046854e2-8938-498c-9c8c-6ba6bf2aed34,The Edge,Fitness Studio
052db7c3-6349-446b-b77b-eae11d010d5f,The Port On The Square,Cleaner³
05c57b20-b1be-4083-8c4f-9fa2c4d19614,The Port On The Square,Central Location
07fefa6f-5686-4ba1-b849-1b30941a296f,800 Bristol Road,Communal Lounge
09245986-a41d-4984-a6e0-f2384b8875e0,Ryan Hall,Courtyard
0aeed7fe-dc5f-4a9e-82f3-435a78ac10da,88 Bromsgrove House,Cinema Lounge
0e24edcb-87f3-4e0a-aa59-371c75fc2ad3,800 Bristol Road,Laundry Room
0e27f692-b2cc-4872-901c-70f884c2c721,The Port on The Square,Laundry Room
11f27093-afb1-45fb-8e44-50cac21b640f,The Port On The Square,Air Conditioning⁴
11fd4eeb-dc12-4511-b867-f0e3df977736,Hollis Wharf,Quiet Room
11fdae46-9323-4685-8d8e-59956fe551cc,The Port On The Square,Gym
12c8fb0c-7c85-4ac7-a74c-2a84c8de9987,The Edge,Bike Storage
14dcb50b-f408-4ada-bda1-c6ed255173bd,800 Bristol Road,Disabled Access
17213b22-9bbb-4dbf-ba18-0ebe019bb5a0,The Edge,Private Dining
1f1d4876-ec19-4c21-a8cc-7c3b9c25b55e,The Port on The Square,Study Space
24e9ae4a-1f60-4d78-9820-cf31d99e95ca,800 Bristol Road,Air Conditioning
26f75556-246b-4bb8-a5ca-a9660ee1ecd9,The Port On The Square,Laundry Room
2aec487a-f26c-455b-9932-0ba8b4cd6128,The Port On The Square,Communal Lounge
2e77fae0-e908-4f7d-a155-35d32bb9f614,The Port on The Square,TV in Every Studio
326dc086-075d-4a46-9246-844aba4e3ef3,The Edge,Yoga / Pilates Studio
328adaca-9042-47bb-9a80-37a1a2a56f88,88 Bromsgrove House,Mahjong Table
36a75c28-5f15-4e30-824c-99c1a990d2e1,The Port On The Square,TV in Every Kitchen
36fa1790-a7cf-44eb-8d95-536f5e0160f1,800 Bristol Road,Cinema Lounge
39707113-3183-4a21-8cfa-da985e0a087b,The Port On The Square,Arcade
3a52538e-c093-4c2d-bede-06e8a1a6af0a,The Port On The Square,Post Collection
3bf811bc-1231-43a2-bb1b-15c9271fd22c,The Port on The Square,Cinema Lounge
3d35a7e2-c61e-431f-9b86-6501a4495e7a,88 Bromsgrove House,Bike Storage
3f6f5df8-772e-4cda-91d5-1c10fbad3b9f,The Edge,Games Hub
40b86c40-886f-446c-a93a-e1611147f8ca,800 Bristol Road,Recycling
41e65c3e-aed2-4174-a028-d65ea6b03da3,The Port On The Square,Communal Dining Room
43659a78-67c1-4806-b3e1-9ec67d7c0965,The Edge,Meeting Room
44a23900-1b42-49d0-b56d-d8b774edf880,The Port on The Square,Karaoke
44d193d3-878e-4d09-8fef-067696f4a198,The Port on The Square,Coffee Bar
45d8f62b-d96b-40d7-92a7-fbbd24fd1303,The Port on The Square,Post Collection
46af25d1-fed5-4c35-98e0-cbaeefbca508,The Port On The Square,Vending Machine
