id,property,service
0124b4e8-9b64-45ca-b128-1c93aee22ad3,800 Bristol Road,All Utility Bills Included
1ce422b5-2884-4cd5-bc1f-e7dda3bda5a8,The Port On The Square,Contents Insurance Included†
1d29f0a1-509f-4c33-9008-749b80c8c0f1,Hollis Wharf,1Gbps* Wired Internet
3315de0c-b4dc-4ad8-b60c-f133e9d8bb9e,800 Bristol Road,Onsite Maintenance
41fa8afb-4441-4de6-84e9-00bcf87deee5,The Port On The Square,Onsite Maintenance
51c6d37e-4f90-4c74-9e48-22fb1184c6fb,The Port on The Square,Onsite Maintenance
7cf8c101-f2e6-404f-829c-2ec8e94662b9,The Port on The Square,Contents Insurance Included†
8820a5d2-7afa-4235-824f-71b0b1b1be1d,The Port on The Square,1Gbps* Wired Internet
8b14a7b0-6955-413c-a30f-88d388ab60ed,The Port On The Square,1Gbps* Wired Internet
a0a99a12-a2db-4cde-9a2e-2b3ec4a4279b,The Port on The Square,All Utility Bills Included
a963a009-6a00-44b6-b552-6e56026bee5e,The Port On The Square,CCTV
b18176da-7e2a-4e9b-a020-d0a8152dd856,800 Bristol Road,CCTV
c2effc90-9f9a-4f8b-a1d4-248af5e88f2b,88 Bromsgrove House,All Utility Bills Included
c3a71d3c-8e62-4b33-beab-a6d34c0c0844,88 Bromsgrove House,Contents Insurance Included†
cdced8a0-435e-49c5-8db5-5597c501cf72,Ryan Hall,All Utility Bills Included
e7129794-234a-43d4-96f1-99b3ad207ac8,The Port on The Square,CCTV
f68e0b53-f863-4e8b-8c2a-8f1fcb905343,The Port On The Square,All Utility Bills Included
fb39003a-9504-431f-846f-bdc05501f39e,800 Bristol Road,Contents Insurance Included†
fe614531-bbb6-4466-ba1c-e7017fb0a799,Hollis Wharf,All Utility Bills Included
